Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-15 22:00:00,BH20-29_WR,0,1142.06858408205
2023-07-15 22:00:00,P3_CH,0,1144.81736217476
2023-07-15 23:00:00,BH20-29_CH,0,1142.64924026179
2023-07-15 23:00:00,BH20-29_ExWR,0,1142.3705860757
2023-07-15 23:00:00,BH20-29_GP-GC,0,1142.42182087382
2023-07-15 23:00:00,BH20-29_WR,0,1142.07059614939
2023-07-15 23:00:00,P3_CH,0,1144.81695701616
2023-07-16 00:00:00,BH20-29_CH,0,1142.64978501417
2023-07-16 00:00:00,BH20-29_ExWR,0,1142.37318911185
2023-07-16 00:00:00,BH20-29_GP-GC,0,1142.42417767966
2023-07-16 00:00:00,BH20-29_WR,0,1142.07294871889
2023-07-16 00:00:00,P3_CH,0,1144.81689913636
2023-07-16 01:00:00,BH20-29_CH,0,1142.64997727971
2023-07-16 01:00:00,BH20-29_ExWR,0,1142.37354910608
2023-07-16 01:00:00,BH20-29_GP-GC,0,1142.42449616684
2023-07-16 01:00:00,BH20-29_WR,0,1142.07386188686
2023-07-16 01:00:00,P3_CH,0,1144.81504698201
2023-07-16 02:00:00,BH20-29_CH,0,1142.65119496122
2023-07-16 02:00:00,BH20-29_ExWR,0,1142.37302296066
2023-07-16 02:00:00,BH20-29_GP-GC,0,1142.42414583094
2023-07-16 02:00:00,BH20-29_WR,0,1142.07370711265
2023-07-16 02:00:00,P3_CH,0,1144.81241344805
2023-07-16 03:00:00,BH20-29_CH,0,1142.64760600424
2023-07-16 03:00:00,BH20-29_ExWR,0,1142.37111222144
2023-07-16 03:00:00,BH20-29_GP-GC,0,1142.42255339469
2023-07-16 03:00:00,BH20-29_WR,0,1142.0722677121
2023-07-16 03:00:00,P3_CH,0,1144.80989567161
2023-07-16 04:00:00,BH20-29_CH,0,1142.6463242332
2023-07-16 04:00:00,BH20-29_ExWR,0,1142.3689799462
2023-07-16 04:00:00,BH20-29_GP-GC,0,1142.42096095786
2023-07-16 04:00:00,BH20-29_WR,0,1142.07059614939
2023-07-16 04:00:00,P3_CH,0,1144.80784093293
2023-07-16 05:00:00,BH20-29_CH,0,1142.64568334755
2023-07-16 05:00:00,BH20-29_ExWR,0,1142.36853687588
2023-07-16 05:00:00,BH20-29_GP-GC,0,1142.42080171414
2023-07-16 05:00:00,BH20-29_WR,0,1142.06999252932
2023-07-16 05:00:00,P3_CH,0,1144.80616241294
2023-07-16 06:00:00,BH20-29_CH,0,1142.64767009278
2023-07-16 06:00:00,BH20-29_ExWR,0,1142.37169375086
2023-07-16 06:00:00,BH20-29_GP-GC,0,1142.42357255396
2023-07-16 06:00:00,BH20-29_WR,0,1142.07192720865
2023-07-16 06:00:00,P3_CH,0,1144.80648075301
2023-07-16 07:00:00,BH20-29_CH,0,1142.64792644694
2023-07-16 07:00:00,BH20-29_ExWR,0,1142.37122298896
2023-07-16 07:00:00,BH20-29_GP-GC,0,1142.4229992769
2023-07-16 07:00:00,BH20-29_WR,0,1142.07181886664
