Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2024-08-27 00:00:00,P47_SC,,1154.6438794773
2024-08-27 00:00:00,P59_CL,,1154.9032102791
2024-08-27 00:00:00,P59_SC,,1156.59408216085
2024-08-27 00:00:00,P59_SM,,1154.00077654812
2024-08-28 00:00:00,BH21-P60_CH,,1150.935535430115
2024-08-28 00:00:00,BH21-P60_GP-GC,,1156.13500230078
2024-08-28 00:00:00,P42_CH,,1161.56398673886
2024-08-28 00:00:00,P42_CL,,1156.54816030641
2024-08-28 00:00:00,P42_SC,,1158.19980081633
2024-08-28 00:00:00,P47_CH,,1146.53210410296
2024-08-28 00:00:00,P47_SC,,1154.60763410998
2024-08-28 00:00:00,P59_CL,,1154.87473800673
2024-08-28 00:00:00,P59_SC,,1156.56041090068
2024-08-28 00:00:00,P59_SM,,1153.97740498416
2024-08-29 00:00:00,BH21-P60_CH,,1150.87841113729
2024-08-29 00:00:00,BH21-P60_GP-GC,,1156.11129043574
2024-08-29 00:00:00,P42_CH,,1161.51972405192
2024-08-29 00:00:00,P42_CL,,1156.49897555165
2024-08-29 00:00:00,P42_SC,,1158.13919082514
2024-08-29 00:00:00,P47_CH,,1146.53313584404
2024-08-29 00:00:00,P47_SC,,1154.58505897592
2024-08-29 00:00:00,P59_CL,,1154.85142579586
2024-08-29 00:00:00,P59_SC,,1156.53570430459
2024-08-29 00:00:00,P59_SM,,1153.95149357277
2024-08-30 00:00:00,BH21-P60_CH,,1150.900806954115
2024-08-30 00:00:00,BH21-P60_GP-GC,,1156.14211301862
2024-08-30 00:00:00,P42_CH,,1161.50603564942
2024-08-30 00:00:00,P42_CL,,1156.47849104966
2024-08-30 00:00:00,P42_SC,,1158.20057011444
2024-08-30 00:00:00,P47_CH,,1146.55777250724
2024-08-30 00:00:00,P47_SC,,1154.61907840045
2024-08-30 00:00:00,P59_CL,,1154.94889295802
2024-08-30 00:00:00,P59_SC,,1156.58669760055
2024-08-30 00:00:00,P59_SM,,1154.0374570917
2024-08-31 00:00:00,BH21-P60_CH,,1150.8849444881148
2024-08-31 00:00:00,BH21-P60_GP-GC,,1156.10601016293
2024-08-31 00:00:00,P42_CH,,1161.47641473342
2024-08-31 00:00:00,P42_CL,,1156.44623754712
2024-08-31 00:00:00,P42_SC,,1158.13528934647
2024-08-31 00:00:00,P47_CH,,1146.52835231542
2024-08-31 00:00:00,P47_SC,,1154.57856860147
2024-08-31 00:00:00,P59_CL,,1154.89595563715
2024-08-31 00:00:00,P59_SC,,1156.53771001107
2024-08-31 00:00:00,P59_SM,,1153.98457399278
2024-09-01 00:00:00,BH21-P60_CH,,1148.98643675778
2024-09-01 00:00:00,BH21-P60_GP-GC,,1156.1860020797
2024-09-01 00:00:00,P42_CH,,1161.4757976294
2024-09-01 00:00:00,P42_CL,,1156.43358036433
2024-09-01 00:00:00,P42_SC,,1158.35580160011
2024-09-01 00:00:00,P47_CH,,1146.58691114516
2024-09-01 00:00:00,P47_SC,,1154.66498065256
2024-09-01 00:00:00,P59_CL,,1154.96807648444
2024-09-01 00:00:00,P59_SC,,1156.61757288483
2024-09-01 00:00:00,P59_SM,,1154.05243783089
2024-09-02 00:00:00,BH21-P60_CH,,1149.00142579641
2024-09-02 00:00:00,BH21-P60_GP-GC,,1156.22116087866
2024-09-02 00:00:00,P42_CH,,1161.5141140548
2024-09-02 00:00:00,P42_CL,,1156.47643704466
2024-09-02 00:00:00,P42_SC,,1158.47926977119
2024-09-02 00:00:00,P47_CH,,1146.61145375035
2024-09-02 00:00:00,P47_SC,,1154.70213475642
2024-09-02 00:00:00,P59_CL,,1154.97408649342
2024-09-02 00:00:00,P59_SC,,1156.65975256377
2024-09-02 00:00:00,P59_SM,,1154.0495767069
2024-09-03 00:00:00,BH21-P60_CH,,1149.00685192661
2024-09-03 00:00:00,BH21-P60_GP-GC,,1156.27365213383
2024-09-03 00:00:00,P42_CH,,1161.52499744426
2024-09-03 00:00:00,P42_CL,,1156.48681809054
2024-09-03 00:00:00,P42_SC,,1158.67597873365
2024-09-03 00:00:00,P47_CH,,1146.68242340885
2024-09-03 00:00:00,P47_SC,,1154.75631329122
